HVQ_036_000001	Của bầu một nước, không gì quý bằng đất đai: nhân dân và của cải đều do đấy mà sinh ra.
HVQ_036_000048	Nhà Đông Hán tức là Hậu Hán, bắt đầu từ Quang Vũ đời ra Lạc Dương trở về sau.
HVQ_036_000049	(7) Kinh thành có từ đời Đông Chu.
HVQ_036_000050	Nay là đạo Hà Lạc, tỉnh Hà Nam (Trung Quốc).
HVQ_036_000051	nước các đời dựng ra trước thời An Dương vương tức là cương giới của nước Nam ngày nay.
HVQ_036_000052	Tức như thiên "Nghiêu điển" ở Kinh thư có chép: "Sai Hy Thúc đến Nam Giao"; sử nhà Chu chép: "Giao Chỉ ở về phía nam", thì từ đời Đường Nghiêu đến đời nhà Chu, nước ta đã có giới hạn nhất định rồi.
HVQ_036_000053	Bảo là phía nam đến đất Ba Thục, thì nay xét ra chỗ đất cùng cực của tỉnh Hưng Hóa, thông với tỉnh Vân Nam là đất Ba Thục ngày trước, cho nên An Dương vương ở đất Ba Thục mà sang lấy Văn Lang, chỗ này có thể là một bằng chứng để xét nghiệm được(1).
HVQ_036_000054	Xét trong sách vở đã ghi chép: đất nước ta phía đông đến biển, phía tây giáp Vân Nam; phía nam giáp nước Chiêm Thành, phía bắc giáp tỉnh Quảng Tây, phía đông bắc giáp tỉnh Quảng Đông, phía tây nam giáp nước Lão Qua(2), so với sử cũ đã chép cũng gần giống nhau.
HVQ_036_000055	Nhưng gọi Hồ Tôn là Chiêm Thành thì không có bằng chứng gì cả.
HVQ_036_000056	Người đời trước ghi địa giới một châu, một huyện còn chép cả 8 bên giáp giới, huống chi là cương giới một nước.
HVQ_036_000057	Cho nên phải phân biệt cho rõ ràng.
HVQ_036_000058	An Dương vương đã diệt được Hùng vương, đổi quốc hiệu là nước Âu Lạc, đóng đô ở Phong Khê, đắp Loa Thành(3).
HVQ_036_000059	Cuối nhà Tần, chức úy quận Nam Hải là Triệu Đà kiêm tính cả đất Quế Lâm, Tượng Quận, đánh diệt An Dương vương, tự lập làm Vũ vương nước [Nam] Việt, sai hai viên sứ coi giữ quận Giao Chỉ và quận Cửu Chân.
HVQ_036_000060	Nước Nam ta bèn thuộc về nhà Triệu.
HVQ_036_000061	Truyền đến đời Vệ Dương vương, Vũ đế nhà Hán sai [Lộ] Bác Đức, Dương Bộc đem quân sang đánh, lấy đất của nhà Triệu chia làm 9 quận là: Nam Hải, Thương Ngô, Uất Lâm, Hợp Phố và Giao Chỉ, Cửu Chân, Nhật Nam, Châu Nhai, Đam Nhĩ, đặt thứ sử và thái thú để cai trị.
HVQ_036_000062	Lời bàn của Ngô Chúc Lý(4): Đất Ngũ Lãnh đối với nước Việt ta là chỗ hiểm trở, tức là cửa ngõ của nước nhà, cũng như đất Hổ Lao nước.
HVQ_036_000063	(1) Họ Ngô cho tỉnh Vân Nam là đất Ba Thục không đúng, vì Ba Thục xưa là đất Tứ Xuyên, với nước Văn Lang còn cách Tuấn Điền (Vân Nam), không liền đất nhau (VSBTGCM).
HVQ_036_000064	(2) Tức là nước Nam Chưởng, khi xưa ở phía bắc nước Vạn Tượng (Ai Lao).
HVQ_036_000065	(3) Nay là thành Cổ Loa.
HVQ_036_000066	(4) Biệt hiệu của Ngô Sĩ Liên.
HVQ_036_000067	Các lời bàn của họ Ngô đều chép trong ĐVSKTT.
HVQ_036_000068	28 Lịch triều hiến chương loại chí Trịnh, đất Hạ Dương của nước Quắc(1), thế thì người làm chủ nước Việt phải nên đặt quân ở chỗ hiểm ấy để giữ lấy đất nước.
HVQ_036_000069	Họ Triệu để mất chỗ hiểm ấy, nên đến nỗi nước mất nhà tan, cõi đất bị chia nát mà nước Việt ta lại thành ra tình thế phải chia ra nam bắc; về sau dù có vua chúa nào nổi lên, nhưng chỗ đất hiểm đã mất, lấy lại được cũng khó.
HVQ_036_000070	Cho nên Trưng nữ vương dẫu tạm giữ yên được đất Lĩnh Nam nhưng vì không chiếm cứ được đất Ngũ Lĩnh là chỗ hiểm yếu nên rồi cũng mất.
HVQ_036_000071	Thời Sĩ vương tuy cũng là toàn thịnh, nhưng vẫn chịu tiếng là chư hầu lúc bấy giờ, chưa được gọi là vua, sau khi chết rồi nước cũng mất theo.
HVQ_036_000072	Rồi đến Đinh, Lê, Lý, Trần chỉ có đất từ Giao Châu trở về phía nam chứ không lấy lại được khoảng đất cũ của họ Triệu nữa là vì thời thế bắt buộc phải như vậy.
HVQ_036_000073	Lời bàn của Ngô Ngọ Phong(2): Xét sách Việt chí, cách phía tây huyện Hưng Yên thuộc tỉnh Quảng Tây 40 dặm, có một cái thành tương truyền do Tần Thủy Hoàng đắp ra để ngăn cách nước Việt.
HVQ_036_000074	Chân móng xây bằng đá, nền cũ hãy còn.
HVQ_036_000075	Về phía tây nam cũng có thành của nước Việt ta, phía bắc cách thành của nhà Tần 20 dặm có cửa ải nghiêm cấm, hai bên núi đứng cao, giữa chỉ vừa một con ngựa đi lọt, khi có tuyết chỉ đi được đến đấy thôi, nếu có tuyết lớn có khi chỉ đi được đến quận Quế Lâm, không đi tới phía nam được nữa.
HVQ_036_000076	Khi nhà Tần đắp thành, đương vào lúc Thủy Hoàng chưa mở mang tới đất Dương Việt(3), mà khí hậu của trời và hình thế của đất, đã có giới hạn nam bắc nhất định rồi.
HVQ_036_000077	Đến khi nhà Tần chia nước ta ra làm quận huyện, thì đất Ngũ Lĩnh thành ra đất của Trung Quốc.
HVQ_036_000078	Họ Triệu chiếm lấy đất ấy của nhà Tần.
HVQ_036_000079	Đến nhà Hán lại diệt họ Triệu mà lấy lại thì đất Giao Nam ta lại ở ngoài Ngũ Lĩnh.
HVQ_036_000080	Ngũ Lĩnh trước thuộc về nhà Triệu, vì Triệu mất nước, sau lại về nhà Hán; thế thì Ngũ Lĩnh vốn không phải là địa giới của quận Giao Chỉ, Cửu Chân và Nhật Nam.
HVQ_036_000081	Nếu nhà Triệu giữ được thì ba quận ấy cũng chỉ lệ thuộc vào Triệu thôi.
HVQ_036_000082	Sau này Đinh, Lê, Lý, Trần chỉ có đất cũ từ Giao Châu trở về phía nam, chứ không phải là bởi nhà Triệu để mất chỗ đất hiểm mà gây nên.
HVQ_036_000083	Nhà Triệu đặt hai viên sứ ở trong nước.
HVQ_036_000084	(1) Hai nước ở Trung Quốc trong thời Xuân Thu.
HVQ_036_000085	(2) Tên hiệu của Ngô Thì Sĩ.
HVQ_036_000086	(3) Một miền thuộc về Bách Việt, ở vào tỉnh Giang Tây của Trung Quốc.
HVQ_036_000087	Dư địa chí 29 Việt tức là đất của hai quận đời nay thì sao lại cho Ngũ Lãnh là chỗ hiểm của ba quận được, mà tiếc cho Định, Lê, Lý, Trần không lấy lại được đất cũ?
HVQ_036_000088	Vì khí thế trời đất đã xếp đặt sẵn rồi, thì đất Giao Nam ta cũng sẽ có thánh hiền hào kiệt ứng vận hội mà sinh ra.
HVQ_036_000089	Xem như Thành Thang(1) chỉ có 70 dặm đất, Văn vương(2) chỉ có 100 dặm đất mà đều có thể làm vua cả thiên hạ, bắt các chư hầu triều phục.
HVQ_036_000090	Vậy, nếu phận đất được sao tốt chiếu, vận trời thuộc về nước mình thì có thể vượt qua [Ngũ] Lĩnh để lấy đất Trung Nguyên, chứ sao chịu bo bo ở trong khu vực Ngũ Lĩnh mà thôi ư?
HVQ_036_000091	Lời án(3): Chín quận của nhà Hán đặt ra: Quận Nam Hải có 6 huyện(a), Quận Thương Ngô có 10 huyện(b)(4), Quận Uất Lâm có 12 huyện(c)(5), Quận Hợp Phố có 10 huyện(d)(6), Quận Giao Chỉ có 10 huyện(đ)(7), (a) Phiên Ngung, Bác La, Trung Túc, Long Xuyên, Tứ Hội, Yết Dương.
HVQ_036_000092	(b) Quảng Tín, Tạ Mộc, Cao Yếu, Phong Dương, Lâm Hạ, Đoan Khê, Phù Xuyên(7), Lệ Phố, Mãnh Lăng.
HVQ_036_000093	(c) Bố Sơn, An Quang, A Lâm, Quảng Châu, Uất Lâm, Trung Lựu(8), Quế Lâm, Đàm Trung.
HVQ_036_000094	(d) Hợp Phố, Từ Văn, Cao Lương, Lâm Doãn(9), Chu Nhai.
HVQ_036_000095	(đ) Long Biên, Liên Lâu, An Định, Câu Lậu, Mê Linh, Khúc Dương, Bắc Đới, Kê Từ, Tây Vụ, Chu Lư(10).
HVQ_036_000096	(1) Tên một vua đời nhà Thương (Trung Quốc).
HVQ_036_000097	(2) Một vua đời nhà Chu (Trung Quốc).
HVQ_036_000098	(3) Lời án: những đoạn "án" trong này là của tác giả Phan Huy Chú.
HVQ_036_000099	(4) Chỗ này theo VSTGCM thì chỉ có 10 huyện, không có huyện Chương Bình.
HVQ_036_000100	(5) VSTGCM chép có 12 huyện, không có Quảng Châu, Uất Lâm, có thêm những huyện: Quảng Uất, Lâm Trần, Định Chu, Tăng Thực, Lĩnh Phương, Ung Kê.
HVQ_036_000101	(6) Theo VSTGCM chép là 10 huyện, không có Phong Khê, Vọng Hải.
HVQ_036_000102	(7) Theo VSTGCM chỉ có Phùng Thặng, không có Nhạn Diệp.
HVQ_036_000103	(8) VSTGCM chép là Trung Lựu.
HVQ_036_000104	(9) VSTGCM chép là Lâm Doãn.
HVQ_036_000105	(10) VSTGCM và VĐUL chép là Chu Lư.
HVQ_036_000106	30 Lịch triều hiến chương loại chí Quận Cửu Chân có 50 huyện, Quận Nhật Nam có 5 huyện.
HVQ_036_000107	Còn quận Châu Nhai và Đam Nhĩ chưa rõ có bao nhiêu huyện.
HVQ_036_000108	Nay xét các sách Dư địa chí, thì quận Nam Hải, Hợp Phố nay thuộc Cao Châu, Liêm Châu.
HVQ_036_000109	Quận Châu Nhai, Đam Nhĩ nay thuộc Quỳnh Châu, Đam Châu đều là địa giới tỉnh Quảng Đông, quận Thương Ngô, Uất Lâm nay thuộc tỉnh Quảng Tây, duy quận Giao Chỉ, Cửu Chân, Nhật Nam mới là đất của nước ta.
HVQ_036_000110	Vì từ đời nhà Hán đem liệt tất cả vào quận Giao Châu chưa có phân biệt rõ ràng nên đất Giao Nam ta khi ấy thành ra quận huyện của Trung Quốc cả.
HVQ_036_000111	Năm Kiến Vũ thứ 15 [40 sau Công nguyên] đời Đông Hán, người con gái ở huyện Mê Linh thuộc Phong Châu là Trưng Trắc nổi lên, đem quân đánh đuổi Thái thú quận Giao Chỉ là Tô Định, quân đi đến đâu thì nhân dân theo hết, cả những người Man, Lý ở quận Nam Hải, Cửu Chân, Nhật Nam, Hợp Phố cũng đều hưởng ứng cả.
HVQ_036_000112	Rồi đó dẹp yên được hơn 50 thành ở đất Lĩnh Nam, tự lên làm vua.
HVQ_036_000113	Nhà Hán cho Mã Viện làm Phục Ba tướng quân, men bờ biển tiến sang, gặp chỗ nào có núi thì sửa thành đường, chừng nghìn dặm xa mới đến Lãng Bạc.
HVQ_036_000114	Trưng vương rút lui giữ đất Cấm Khê, cùng với em gái là Trưng Nhị chống đánh quân Hán, nhưng bị thua, quân tan rã cả, hai chị em đều chết.
HVQ_036_000115	Quân còn sót lại do Đô Dương đem về tụ họp ở quận Cửu Chân, Mã Viện lại đuổi đánh, đến huyện Cư Phong thì Đô Dương phải chịu hàng.
HVQ_036_000116	Đất Giao Nam dẹp yên cả, Viện mới dựng cột đồng ở đất Giao Nam để làm địa giới tận cùng của nhà Hán.
HVQ_036_000117	Lại theo chế độ quận, huyện cũ để cai trị.
HVQ_036_000118	Từ đấy về sau, nước Lạc Việt phải theo các công việc cũ của Mã Viện đã đặt ra, nên nước Việt ta lại thuộc về Hán.
HVQ_036_000119	(a) Tư Phố, Cư Phong, Hàm Hoan, Vô Công, Vô Biên.
HVQ_036_000120	(b) Chu Ngô, Tây Quyển, Tượng Lâm, Lư Dung, Ty Ảnh (1) Theo VSTGCM thấy chép là 7 huyện, thêm 2 huyện Đô Bàng và Dư Phát.
HVQ_036_000121	(2) Niên hiệu của Hán Vũ đế bên Trung Quốc.
HVQ_036_000122	(3) Không tra được rõ là ở đâu.
HVQ_036_000123	Không biết có phải tức là Lĩnh Nam không?
HVQ_036_000124	(4) VSTGCM và PĐĐC đều chép là Vô Thiết.
HVQ_036_000125	(5) Tấn thư địa lý chí chép là Bắc Ảnh.
HVQ_036_000126	Theo chữ Nho, chữ "ty" và chữ "bắc" giống nhau, nên dễ lẫn.
HVQ_036_000127	Dư địa chí 31 Lời án; Sách Nhất thống chí của nhà Minh chép: Cột đồng ở động Cổ Sâm thuộc châu Khâm, trên có lời thề rằng: "Cột đồng gẫy thì Giao Chỉ phải tiêu diệt".
HVQ_036_000128	Người nước Việt ta sợ cột đồng gẫy nên mỗi khi có ai đi qua dưới cột ấy, đều lấy đá đắp thêm vào thành ra gò lớn.
HVQ_036_000129	Châu Khâm ở về phía đông hải phận nước ta.
HVQ_036_000130	Cách phía tây châu ấy 300 dặm, có núi Phân Mao, ở lưng chừng núi có cột đồng cao một trượng hơn hai thước.
HVQ_036_000131	Vậy mà xét ở sách Thông điển của Đỗ Hựu đời Đường lại nói rằng: "Cách phía nam nước Lâm Ấp hơn 2.000 dặm, có cột đồng của Mã Viện dựng lên" thế thì cột đồng lại ở ngoài quận Nhật Nam, không giống như Nhất thống chí của nhà Minh, chưa rõ là sách nào phải.
HVQ_036_000132	Thiết tưởng lúc bấy giờ dựng cột đồng tất dựng ở chỗ cùng cực phía nam, mà châu Khâm còn gần đất Trung Quốc, không lẽ lại dựng mốc giới ở chỗ ấy, thì cột đồng ở động Cổ Sâm, ngờ là người sau dựng lên.
HVQ_036_000133	Trong khoảng đời Nguyên Hòa, Đô hộ là Mã Tổng có dựng cột đồng ở chỗ cũ của nhà Hán thì cột đồng ấy có lẽ là Mã Tổng dựng lên mà đời sau bảo là di tích của Phục Ba tướng quân chăng?
HVQ_036_000134	Nay hãy chép ra để tham khảo.
HVQ_036_000135	Khoảng năm Kiến An, nhà Hậu Hán mới đặt ra Giao Châu để thống trị các quận.
HVQ_036_000136	Đến thời Tam Quốc, vua Ngô là Tôn Quyền lấy cớ rằng Giao Châu xa quá, mới chia từ quận Giao Chỉ trở về phía nam là Giao Châu, về phía bắc là Quảng Châu, đặt chức thứ sử riêng để cai trị.
HVQ_036_000137	(1) Minh nhất thống chí là sách địa dư Trung Quốc, do vua Minh sai bọn Lý Hiền soạn ra, theo quyển Nhất thống chí của nhà Nguyên.
HVQ_036_000138	(2) Tên núi giáp giới ta với châu Khâm, thuộc Quảng Châu - Trung Quốc.
HVQ_036_000139	Tương truyền núi có nhiều cỏ tranh, một nửa ngọn cỏ rẽ về phía nam, một nửa rẽ về phía bắc.
HVQ_036_000140	(3) Nội dung chép về điển lệ chính trị từ đời Hoàng đế đến đời Thiên Bảo nhà Đường, gồm 200 quyển.
HVQ_036_000141	(4) Niên hiệu Đường Hiến Tông, Trung Quốc (806 - 820).
HVQ_036_000142	(5) Niên hiệu Hán Hiến Đế, Trung Quốc (196 - 219).
HVQ_036_000143	trị.
HVQ_036_000144	Rồi sau lại hợp làm Giao Châu.
HVQ_036_000145	Đến khi Tôn Hạo lên ngôi, lại chia làm hai như cũ.
HVQ_036_000146	Sau lại chia Giao Chỉ ra làm quận Tân Hưng cho Đào Hoàng làm Thứ sử, đô đốc việc quân ở Giao Châu.
HVQ_036_000147	Khi dẹp yên được những người Di, Lạo(1) ở quận Vũ Bình, Cửu Đức, Tân Hưng, đặt ra 3 quận và hơn 30 huyện của quận Cửu Chân thuộc về [nước Tấn](2).
HVQ_036_000148	Cuối đời Ngụy, Vũ Đế nhà Tấn cho Lã Hưng làm An Nam tướng quân, đô đốc các đạo quân ở Giao Châu.
HVQ_036_000149	Nước ta gọi là An Nam bắt đầu từ đấy.
HVQ_036_000150	Thời nhà Tấn chia Giao Châu làm 7 quận, 50 huyện: Quận Giao Chỉ có 14 huyện(a).
HVQ_036_000151	Quận Cửu Chân có 7 huyện(c).
HVQ_036_000152	Quận Nhật Nam có 5 huyện(b).
HVQ_036_000153	Quận Cửu Đức có 8 huyện(d).
HVQ_036_000154	Quận Tân Xương có 6 huyện.
HVQ_036_000155	Quận Vũ Bình có 7 huyện(e).
HVQ_036_000156	Quận Hợp Phố có 6 huyện(g).
HVQ_036_000157	Về sau người Lâm Ấp(3) thường đến cướp quận Nhật Nam, quận Cửu Chân vì khi ấy quận Giao Châu suy yếu.
HVQ_036_000158	Khoảng năm Nguyên Gia(4) nhà Tống sai Đàn Đạo Tế làm thứ sử Giao Châu dẹp yên được Lâm Ấp.
HVQ_036_000159	Vũ đế nhà Lương lại chia Giao Châu đặt ra Ái Châu, rồi đổi (a) Không có huyện Phong Khê, Vọng Hải như của nhà Hán; thêm các huyện: Giao Hưng, Vũ Ninh, Nam Định, Hải Bình.
HVQ_036_000160	(b) Hợp Phố, Di Phong, Trạm Ngô, Kiến Sơ, Thường Lạc, Phù Lạc, Tùng Nguyên.
HVQ_036_000161	(c) Theo y như các huyện đời nhà Hán.
HVQ_036_000162	(d) Cửu Đức, Hàm Hoan, Nam Lăng, Dương Toại, Phù Linh, Khúc Tư, Phố Dương, Đô Vấn.
HVQ_036_000163	(đ) Mê Linh, Gia Ninh, Ngô Định, Phong Sơn, Lâm Tây, Tây Đạo.
HVQ_036_000164	(e) Vũ Bình, Vũ Hưng, Căn Ninh, Phù An, Phong Khê, Kim Sơn, An Định.
HVQ_036_000165	(g) Nam Bình, Đăng Xương, Từ Văn, Độc Chất, Châu Quan, Hợp Phố.
HVQ_036_000166	(1) Di có lẽ chỉ người Chàm; Lạo có lẽ chỉ người Mường Lào hồi ấy.
HVQ_036_000167	(2) Nguyên văn "cập Cửu Chân thuộc quốc tam thập dư huyện".
HVQ_036_000168	Nguyên đất Cửu Chân hồi đó thuộc về nhà Tấn, Đào Hoàng đánh lấy được.
HVQ_036_000169	(3) Người Chiêm Thành sau này.
HVQ_036_000170	(4) Niên hiệu Tống Văn Đế, Trung Quốc (424 - 453).
HVQ_036_000171	(5) Theo Tấn thư địa lý chí dẫn ở trong PDĐC thì là hai huyện Tiền Sơn và An Vũ.
HVQ_036_000172	Dư địa chí 33 quận Nhật Nam gọi là Đức Châu.
HVQ_036_000173	Từ nhà Hán trở về sau, cho châu được thống trị các quận.
HVQ_036_000174	Đời Lục Triều vẫn theo như thế.
HVQ_036_000175	Chức thứ sử Giao Châu thống trị 7 chức quận thú.
HVQ_036_000176	Nhà Lương năm Đại Đồng thứ 7 [541] chức Quân giám quận Cửu Đức là Lý Bôn) nổi lên, đem quân đánh đuổi Thứ sử là Tiêu Tư, chiếm giữ lấy thành Long Biên, lại đánh phá được Lâm Ấp ở Cửu Đức, rồi xưng là hoàng đế, đặt quốc hiệu là nước Vạn Xuân.
HVQ_036_000177	Khi quân nhà Lương sang xâm lấn, đến sông Tô Lịch, quân của vua bị thua, chạy vào thành Gia Ninh, lại chạy vào chỗ người Lạo ở quận Tân Xương rồi chết.
HVQ_036_000178	Anh là Lý Thiên Bảo cùng viên tướng người cùng họ là Lý Phật Tử thu quân vào quận Cửu Chân, giữ lấy động Dã Năng xưng là Đào Lang vương.
HVQ_036_000179	Rồi đại tướng [của Tiền Lý Nam Đế] là Triệu Quang Phục đem quân đóng ở đầm Nhất Dạ, xưng là Dạ Trạch vương chống nhau với quân nhà Lương, quân Lương tan vỡ bỏ chạy.
HVQ_036_000180	Quang Phục mới vào ở thành Long Biên.
HVQ_036_000181	Khi ấy Đào Lang vương đã chết, Phật Tử nối ngôi đốc suất quân chúng, cùng Triệu Việt vương đánh nhau ở đất Thái Bình, rồi giảng hòa với nhau, cắt bãi Quân Thần làm giới hạn.
HVQ_036_000182	Triệu Việt vương dời về đóng ở thành Ô Diên.
HVQ_036_000183	Sau đem quân đánh diệt Triệu, xưng là Nam Đế, đóng đô ở Ô Diên rồi lại thiên sang Phong Châu.
